id;timestamp;frame_name;frame_id;x1;y1;x2;y2;center_x;center_y;area
1;1773828817.8070989;frame_89;89;605;219;639;470;622;344;561
2;1773828817.847409;frame_90;90;519;34;639;479;579;256;4939
